代號,名稱,族群,市場
3533,嘉澤,連接器,上市
3665,貿聯-KY,線束/連接器,上市
2385,群光,鍵盤/電源,上市
2392,正崴,連接器,上市
3008,大立光,光學,上市
3406,玉晶光,光學,上市
3362,先進光,光學,上櫃
3630,新鉅科,光學,上櫃
6805,富世達,軸承/機構,上市
6890,來億-KY,伺服器滑軌,上市
6125,廣運,自動化/設備,上市
6196,帆宣,廠務/設備,上市
6873,泓德能源,電力/能源,上市
9958,世紀鋼,電力/機電,上市
1513,中興電,電力設備,上市
1504,東元,電機/資料中心,上市
1519,華城,電力設備,上市
1605,華新,電線電纜,上市
1609,大亞,電線電纜,上市
1612,宏泰,電線電纜,上市
2312,金寶,AIoT,上市
2204,中華,車用/電動車,上市
6417,韋僑,NFC/電子,上市
6863,永道-KY,電子標籤,上市
6593,台灣銘板,材料/電子,上櫃
6207,雷科,材料/設備,上櫃
2891,中信金,金融/資金指標,上市
2892,第一金,金融/資金指標,上市
2886,兆豐金,金融/資金指標,上市
2884,玉山金,金融/資金指標,上市
2801,彰銀,金融/資金指標,上市
2834,臺企銀,金融/資金指標,上市
2845,遠東銀,金融/資金指標,上市
2867,三商壽,金融/資金指標,上市
4768,晶呈科技,特化/半導體材料,上櫃
1785,光洋科,靶材/材料,上櫃
3631,晟楠,電子零組件,上櫃
3491,昇達科,低軌衛星/網通,上櫃
6245,立端,邊緣運算,上櫃
4971,IET-KY,光電/半導體,上櫃
6613,朋億*,廠務工程,上櫃
5536,聖暉*,廠務工程,上市
6290,良維,連接線,上市
3023,信邦,連接器/線束,上市
6206,飛捷,POS/工業電腦,上市
2374,佳能,光學/影像,上市
3289,宜特,測試驗證,上櫃
6147,頎邦,封測,上市
6485,點序,記憶體控制,上櫃
8040,九暘,網通IC,上櫃
6243,迅杰,IC設計,上櫃
4961,天鈺,IC設計,上市
6719,力智,電源IC,上市
6695,芯鼎,AI影像IC,上市
6791,虎門科技,AI/CAE軟體,上市
